Range,Q24
$0-999,681
"1,000-1,999",140
"2,000-2,999",71
"3,000-3,999",65
"4,000-4,999",124
"5,000-7,499",216
"7,500-9,999",147
"10,000-14,999",242
"15,000-19,999",137
"20,000-24,999",111
"25,000-29,999",65
"30,000-39,999",79
"40,000-49,999",64
"50,000-59,999",55
"60,000-69,999",26
"70,000-79,999",25
"80,000-89,999",16
"90,000-99,999",15
"100,000-124,999",33
"125,000-149,999",12
"150,000-199,999",12
"200,000-249,999",5
"250,000-299,999",1
"300,000-500,000",4
"> $500,000",7
